title,price,mrp,discount_percentage,link
CP PLUS 3 MP Resolution Smart Wi-fi Bulb Security Camera | 360° View | 2 Way Talk | Motion Tracking & Detection Alert | Bu...,1299,4000,67.53,https://www.amazon.in/dp/B0CYPS1C3N
Mini Magnet 1080P Video Live View Low Light Vision WiFi Wireless Nanny Camera for Pet Baby Home Office Security Small Moni...,599,1599,62.54,https://www.amazon.in/dp/B0FM8RJJJX
TECHNOVIEW Full HD Wi-Fi Wireless Security Camera 1080p Audio Video Live View Low Light Vision Motion Detection Video Reco...,769,2999,74.36,https://www.amazon.in/dp/B0BWK7KGNF
Tapo C500 Outdoor Pan/Tilt Home Security WiFi Smart Camera | 2MP 1080p Full HD Live View | 360° Visual Coverage | Night Vi...,2880,6999,58.85,https://www.amazon.in/dp/B0BQJVKVQR
CP PLUS 2.4MP IR Wired Bullet Outdoor Camera CP-URC-TC24PL3 Compatible with DVR only | 3.6mm Lens | 30 Meter Black & White...,820,3400,75.88,https://www.amazon.in/dp/B0FH5G1Z7P
"Imou 3MP Smart CCTV Security WiFi Camera for Home, 360° Coverage, AI Human Detection, Siren Alarm, Night Vision 10M, 2-Way...",1498,3599,58.38,https://www.amazon.in/dp/B0D7C3QCW3
Sponsored Ad - AZYLYN WiFi CCTV Security Camera for Home Outdoor HD Focus WiFi Magnetic Live Stream IP Wireless 1080P Audi...,599,1999,70.04,https://www.amazon.in/dp/B0CSC1CLRL
"Sponsored Ad - 4K Digital Camera for Vlogging & Photography, 64MP Point and Shoot Camera with 18X Digital Zoom, Autofocus,...",4799,9799,51.03,https://www.amazon.in/dp/B0DZHLBWC2
Sony FX3A Cinema Line Full-Frame Camera | 4K 120P | Compact & Lightweight | Made for Filmmakers | Cinematic Shots - (Grey),339989,399990,15.0,https://www.amazon.in/dp/B0FH9VCKPS
"BOVTY 1080P Mini with Low Light Vision, Mini Portable Security, Hidden-Camera with Audio and Video Recorder for Compatible...",864,4499,80.8,https://www.amazon.in/dp/B0F8ZD55LK
"CADDLE & TOES Kids Camera for Girls or Boys Aged 4+ TO 14, Digital Camera with Video, HD Digital Camera Toys (Rose Pink Wi...",649,2099,69.08,https://www.amazon.in/dp/B0CDRYKV16
Sony Digital Camera ZV-1F for Content Creators with Ultra-Wide 20mm Prime Lens | Soft Skin Feature | Bokeh | Creative Look...,38488,50690,24.07,https://www.amazon.in/dp/B0BZJ9D5W3
Fujifilm Instax Mini 11 Instant Camera (Lilac Purple),5499,7999,31.25,https://www.amazon.in/dp/B085286JCJ
"Saneen Digital Camera for Photography, 4K 64MP WiFi Touch Screen Vlogging Camera with Flash, 32GB Micro Card, Lens Hood, 3...",10994,29999,63.35,https://www.amazon.in/dp/B0CVX7DWP2
"Mini Digital Camera with Filter Modes, 1080p HD Video, Flashlight & Keychain – Portable Cute Vlogging Camera for Travel, G...",2499,249900,99.0,https://www.amazon.in/dp/B0F9PFKD2Q
Sponsored Ad - CP PLUS 3MP Full HD Smart Wi-Fi CCTV Camera | 360° Pan & Tilt | CTC Cyber Secure Tech | View & Talk | Motio...,1998,3000,33.4,https://www.amazon.in/dp/B0FK4RND9C
"Sponsored Ad - Maizic Smarthome 5MP +5MP Wireless WiFi CCTV Camera Dual Lens/Dual Screen Video Record, Color Night Vision,...",2492,4399,43.35,https://www.amazon.in/dp/B0D8ZQKLTR
Sponsored Ad - Maizic Smarthome 3 MP Full HD Without Antenna PTZ Smart WiFi CCTV Security Camera Colored Night Vision Moti...,809,4399,81.61,https://www.amazon.in/dp/B0DRVJWXW5
Fujifilm X-T5 40MP APS-C X-Trans Sensor|Smartchoice|Pixel Shift|IBIS System|Ultra high Resolution mirrorless Camera|6k 30...,176999,209999,15.71,https://www.amazon.in/dp/B0DFGWXH8Q
CADDLE & TOES Kids Digital Camera/Selfie Dual Lens/HD Camera/Video Recorder/Games/ 4GB SD Card(Included)/ 2.0 Inch Screen/...,889,2999,70.36,https://www.amazon.in/dp/B0FJ5TDN7D
Panasonic LUMIX G7 16.00 MP 4K Mirrorless Interchangeable Lens 128 GB Camera Kit with 14-42 mm Lens (Black) with 3x Optica...,3307,54990,93.99,https://www.amazon.in/dp/B07JLXC5BR
"Zebronics Zeb-Crystal Clear Web Camera, 0.3 MP with USB with 3P Lens,Built-in Microphone,Auto White Balance,Night Vision a...",599,1299,53.89,https://www.amazon.in/dp/B08CSMM7RT
