title,price,link,mrp,discount_percentage
"vivo V40 Pro 5G (Ganges Blue, 12GB RAM+ 512GB Storage) | Mediatek Dimensity 9200+ Processor | AMOLED Display | Dual Nano-S...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DXVP7969,60999,99.98
"Nokia All-New 105 Dual Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Cyan","₹1,199",https://www.amazon.in/dp/B0CBMG2JFF,1699,29.43
"POCO C71, Desert Gold (6GB, 128GB)","₹6,799",https://www.amazon.in/dp/B0F53RRM5B,9999,32.0
"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 12GB RAM, 256GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0D4JLSGBB,27999,99.96
"realme NARZO 80 Lite 5G (Onyx Black, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | ...","₹10,498",https://www.amazon.in/dp/B0F9TS623W,14999,30.01
"OPPO A5 5G (Aurora Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Prime Savings Additional Flat INR 250 Off on SBI Cards,https://www.amazon.in/dp/B0FCMRRDSG,20999,98.81
"Samsung Galaxy A36 5G (Awesome Lavender, 8GB, 128GB) | Gemini Live | Awesome Intelligence (AI): Circle to Search, My Filte...","₹28,499",https://www.amazon.in/dp/B0DYDPRHRF,35999,20.83
Sponsored Ad - Redmi 15 5G Midnight Black 6GB + 128GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17....,"₹14,998",https://www.amazon.in/dp/B0FJFT4VDY,16999,11.77
"Sponsored Ad - Redmi Note 14 5G (Titan Black, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits S...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DPFVDFT3,24999,99.96
Sponsored Ad - OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 2...,"₹25,499",https://www.amazon.in/dp/B0FCMK41N9,26999,5.56
"Nokia 3210 4G | All-New Classic Keypad Phone with Dual SIM, YouTube, Scan & Pay UPI, Rear Camera, Wireless FM Radio, MP3 P...","₹3,749",https://www.amazon.in/dp/B0D5XSCM12,5299,29.25
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Plus Gen 3 |...","₹26,999",https://www.amazon.in/dp/B0D7VGZS69,32999,18.18
"Samsung Galaxy A56 5G (Awesome Graphite, 12GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to S...","₹40,999",https://www.amazon.in/dp/B0DYDP8ZZK,52999,22.64
"realme NARZO 80 Lite 4G (Beach Gold, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volum...","₹7,298",https://www.amazon.in/dp/B0FG2NBVBN,8999,18.9
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging...","₹8,299",https://www.amazon.in/dp/B0DLW44CGS,11499,27.83
"Lava Bold N1 Pro (Stealth Black, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI...","₹6,599",https://www.amazon.in/dp/B0F1Z259NF,8399,21.43
"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| ...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0DX6P3RX9,13999,99.96
Motorola Edge 50 Ultra 5G (Peach Fuzz),Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0D7XZ92M2,64999,99.98
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 12GB + 2...,"₹33,499",https://www.amazon.in/dp/B0FCMLCVC7,37999,11.84
"Philips All-New E2103 Sleek & Stylish |Keypad Mobile with 1.77"" Screen|1000 MAH Battery | 2030mm Speaker| Wireless FM | Br...","₹1,099",https://www.amazon.in/dp/B0F9YVK65X,1399,21.44
XIAOMI 15 White (12GB/512GB)| 50 MP Leica Triple Camera | SD 8 Elite | 1.5K CrystalRes Dynamic 1-120 Hz AMOLED | Hyper AI,"₹64,997",https://www.amazon.in/dp/B0DY7KJTLG,79999,18.75
"Redmi A4 5G (Starry Black, 6GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging |...","₹8,999",https://www.amazon.in/dp/B0FBRM15FH,12999,30.77
"Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (JetBlack, 12GB RAM, 256GB Storage), Ultra Sleek Design with 200MP Cam...",Prime Savings Additional Flat INR 11000 Off on SBICards,https://www.amazon.in/dp/B0FDL5K6SV,174999,93.71
"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Militar...","₹12,998",https://www.amazon.in/dp/B0F2T7B9TM,17499,25.72
"Motorola Edge 50 Fusion 5G (Hot Pink, 12GB RAM, 256GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0D4JNVVHH,27999,99.96
"Samsung Galaxy M06 5G (Blazing Black, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0F3X4R33R,12499,99.96
Sponsored Ad - Redmi 15 5G Frosted White 6GB + 128GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.5...,"₹14,998",https://www.amazon.in/dp/B0FJFVLPQP,16999,11.77
"Sponsored Ad - Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits S...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DPFTYQN7,21999,99.95
Sponsored Ad - OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 2...,"₹25,499",https://www.amazon.in/dp/B0FCMKNCJ4,26999,5.56
"Lava Gem 2025 Dual Sim Keypad Phone (2.8"" Display, Camera & Flash) | 2575mAh Smart AI Powerful Battery | Wireless FM & Rec...","₹1,489",https://www.amazon.in/dp/B0F13RP56D,2099,29.06
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Whitesilver, 12GB RAM, 512GB Storage), 200MP Camera, S Pen Included, L...",Prime Savings Additional Flat INR 7750 Off on SBICards,https://www.amazon.in/dp/B0DSKLSV63,141999,94.54
"Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Ultra Sleek Design with 200M...",Prime Savings Additional Flat INR 11000 Off on SBICards,https://www.amazon.in/dp/B0FDL5T1PF,174999,93.71
"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera...",Prime Savings Additional Flat INR 5000 Off on SBICards,https://www.amazon.in/dp/B0DSKNLFBG,80999,93.83
"realme 13 5G (Speed Green, 8GB RAM, 256GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | ...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DFNN474S,22999,99.96
"OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Gen 3 - Best ...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0CX59H5W7,24999,99.96
"Samsung Galaxy A36 5G (Awesome Lavender, 12GB, 256GB) | Gemini Live | Awesome Intelligence (AI): Circle to Search, My Filt...","₹33,499",https://www.amazon.in/dp/B0DYDQGZSF,41999,20.24
"Motorola G45 5G (Viva Magenta, 8GB RAM, 128GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DDY9XDJS,14999,99.93
"Motorola G96 5G (Greener Pastures, 8GB RAM, 128GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0FHGD4VNY,20999,99.95
"Lava Storm Play 5G (Dune Titanium, 6+6*GB RAM, 128GB Storage) | World's First MTK D7060 Processor | 500k+ Antutu | LPDDR5 ...","₹10,499",https://www.amazon.in/dp/B0FB9115N3,13499,22.22
"iQOO Z10 Lite 5G (Cyber Green, 4GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0FC5TBWG5,13999,99.93
"Motorola Edge 50 Pro 5G (Luxe Lavender, 12GB RAM, 256GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0D37WRCP1,41999,99.98
"Samsung Galaxy S24 FE 5G AI Smartphone (Mint, 8GB RAM, 128GB Storage)",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0DHL85K81,59999,99.99
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0DHL7YT5S,59999,99.99
