title,price,link,mrp,discount_percentage
Acer Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (24 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light L...,Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0FGJZ2WWZ,84500.0,99.99
"Dell Inspiron 3530, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Silver, 1.6...","₹52,990",https://www.amazon.in/dp/B0DSFQZTVW,72605.0,27.02
"Acer Aspire Lite, Intel Core i7 12th Gen - 12650H, 16 GB RAM, 512 GB SSD, Full HD IPS 15.6""/39.62 cm, Windows 11 Home, MS ...","₹54,990",https://www.amazon.in/dp/B0FCFZDSGX,71599.0,23.2
"Sponsored Ad - Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Offic...","₹32,985",https://www.amazon.in/dp/B0CWRQV69R,47290.0,30.25
"Sponsored Ad - HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Bas...","₹55,990",https://www.amazon.in/dp/B0F5W5FLPP,72718.0,23.0
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim,...","₹18,990",https://www.amazon.in/dp/B0D9RXH8X5,34990.0,45.73
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office2...","₹30,990",https://www.amazon.in/dp/B0FJYJ8LVY,44783.0,30.8
"Primebook 2 Max 2025 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek ...","₹19,490",https://www.amazon.in/dp/B0FFMQB3KL,34990.0,44.3
"ASUS Vivobook 15, Intel Core i3-1315U, Thin & Light Laptop(Intel UHD iGPU/12GB RAM/512GB SSD/FHD/15.6""/60Hz/42Whrs/Windows...","₹33,990",https://www.amazon.in/dp/B0FKBM4SWJ,51990.0,34.62
"Lenovo ThinkBook 16 AMD Ryzen 5 7535HS (16GB RAM/512GB SSD/Win 11 Home/Office 2024/Backlit Keyboard/Fingerprint) 16"" WUXGA...","₹45,850",https://www.amazon.in/dp/B0DZJ262NX,75000.0,38.87
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6' FHD, Win11,MS Office Home21, ...","₹33,490",https://www.amazon.in/dp/B0F4R5W1NC,50903.0,34.21
"HP 15, Intel Ci7-13620H 13th Gen Laptop (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win11, M365 Bas...","₹65,985",https://www.amazon.in/dp/B0FJ26H614,77507.0,14.87
"ULTIMUS Pro Intel Celeron Dual Core Laptop 4GB RAM, 128GB M.2 Emmc Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI...","₹11,490",https://www.amazon.in/dp/B0D98DS8ZR,24990.0,54.02
"HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, 16GB RAM (Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win1...","₹98,990",https://www.amazon.in/dp/B0DTJ3PX6T,124319.0,20.37
"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (32 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin an...","₹53,400",https://www.amazon.in/dp/B0FPBGJWVZ,85000.0,37.18
