title,price,mrp,discount_percentage,link
Compatible with Airbuds Pro 2 for AP-PLE iph-one 15 Pro Max with (C-Type) Charging Case (White) TWS in-Ear Earphone | Earb...,2190,219000,99.0,https://www.amazon.in/dp/B0FMYQ6KCR
"realme Buds T310 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 4...",1699,3999,57.51,https://www.amazon.in/dp/B0DBGNY4XP
Beats Solo Buds — Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple & Android Compatibility | Built-in Microph...,4999,6900,27.55,https://www.amazon.in/dp/B0D3JHB24Q
Beats Solo Buds — Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple & Android Compatibility | Built-in Microph...,4999,6900,27.55,https://www.amazon.in/dp/B0D3JHKYNG
"iPhonee Headphones (2 Generation) Bluetooth,Wireless Earbuds,H2 Chip|Spatial Audio,Water & Sweat Resistant,60 Hours of Bat...",3999,22999,82.61,https://www.amazon.in/dp/B0FPYML931
"Wired Earbuds with Microphone - Stereo in-Ear in Ear Headphones Compatible with iPhone 7/8/X/XS/XR/11/12/13/14 Pro, iPad -...",499,1999,75.04,https://www.amazon.in/dp/B0FD9JH9WM
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rat...",1399,2299,39.15,https://www.amazon.in/dp/B0C8JB3G5W
Sponsored Ad - Dark Beatz Roar Audio Earbuds | Bluethoot V 5.4 Earphones in Ear Buds | Touch Control Stero Headphones with...,805,2298,64.97,https://www.amazon.in/dp/B0DH4N5Q2G
"Sponsored Ad - truke Mega 9 New Launch True Wireless in Ear Earbuds W/ 24-Bit Lossless Spatial Audio, 70H Battery Fast Cha...",999,3999,75.02,https://www.amazon.in/dp/B0F1CYD5PS
"boAt Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS E...",699,3490,79.97,https://www.amazon.in/dp/B0C413GYVC
"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds ...",249,799,68.84,https://www.amazon.in/dp/B0DDHM6D3L
"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, ...",1499,5999,75.01,https://www.amazon.in/dp/B0DN1Q4NSJ
"GOBOULT Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made i...",799,4999,84.02,https://www.amazon.in/dp/B0BQN2RMJF
"HAMMER Screen TWS, 13mm Drivers, ANC (32dB), Up to 50H Playtime (20H with ANC), Smart Touch Display, True Wireless Earbud...",1499,8999,83.34,https://www.amazon.in/dp/B0D2J4FT99
"PHILIPS TAT1209PK/00 True Wireless Earbuds, in-Ear Active Noise Cancelling Bluetooth v5.3 Earphones with Mic, 18H Play Tim...",1324,2999,55.85,https://www.amazon.in/dp/B0CS3T75XW
"GOBOULT Z20 Pro Made in India Ear Buds Wireless with 60H Playtime, 4 Mics for Clear Calling, 45ms Low Latency Gaming, IPX...",899,5999,85.01,https://www.amazon.in/dp/B0D22QWQHR
"Sponsored Ad - Skullcandy EcoBuds True Wireless in-Ear Earbuds, 8Hr Battery, Battery-Free Charging Case, Microphone, Works...",1799,3999,55.01,https://www.amazon.in/dp/B0CTD7K2ZT
Sponsored Ad - Pebble Luxe Buds Z1 Hybrid ANC + ENC Earbuds with 40 Hrs Playtime| 13mm Dynamic Drivers| Deep Bass| Low Lat...,2199,219900,99.0,https://www.amazon.in/dp/B0FN5VP1Z3
"Scalebee Silicone Ear Tips Ear Hooks Compatible with Apple AirPods/EarPods,Silicone Soft Covers Anti-Slip Sport Earbud Tip...",179,999,82.08,https://www.amazon.in/dp/B0FKNHC6RP
"OnePlus Nord Buds 3 Pro Truly Wireless Bluetooth in Ear Earbuds with Upto 49Db Active Noise Cancellation,12.4Mm Dynamic Dr...",2399,3699,35.14,https://www.amazon.in/dp/B0D7HV9SPJ
"3.5mm to Lightning Adapter, Apple Dongle Jack Converter for Aux Cable Wire [Mfi Certified]2pack Male to Female Headphones/...",226,910,75.16,https://www.amazon.in/dp/B0BV226X9V
[Apple MFi] Certified Wired Earphones – Headphones with Microphone for iPhone 7/8/XR/11/12/13/14,455,1499,69.65,https://www.amazon.in/dp/B0FJGBLNM2
"GOBOULT Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made i...",799,4999,84.02,https://www.amazon.in/dp/B0BQN3NW8C
"Wired iPhone Earbuds [Apple MFi Certified] – Lightning Connector, in-Ear Headphones with Mic for iPhone 7–14 Series",409,1599,74.42,https://www.amazon.in/dp/B0FJG3ND93
"Sony WF-1000XM5 Active Noise Cancelling Wireless Bluetooth in Ear Earbuds with Mic, Up to 36 Hours Battery Life - Black",19990,29990,33.34,https://www.amazon.in/dp/B0C33XXS56
"Sponsored Ad - Bose New QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spat...",18890,25990,27.32,https://www.amazon.in/dp/B0CD2F4B1G
